2.48700,2.44500,2.38900,2.19900,2.69200,2.72200,2.48300,2.40800,3.24500,7.24100,
2.19700,2.34900,2.20400,2.67300,2.40600,2.35100,2.33400,2.54600,2.67700,5.35200,
11.03000,2.23400,2.04800,2.22800,2.91700,2.20300,3.03100,2.51500,5.06500,3.95500,
2.87600,2.38000,3.01200,2.33900,2.34700,2.58200,2.24400,2.16400,2.95100,4.68700,
2.36300,2.32900,2.38400,2.29700,2.58400,2.47500,1.69300,2.46400,3.48600,4.40600,
2.92700,2.17500,2.28400,2.38100,6.21200,2.37700,2.40600,2.29300,2.98700,4.18700,
2.96800,2.22600,2.53900,2.35800,2.96300,2.49200,2.67000,2.30300,2.94400,4.64400,
5.52700,4.97500,2.49700,2.22800,3.48400,2.38400,2.36000,2.54000,6.55600,11.16800,
2.17900,2.39100,2.84200,2.34400,2.26800,2.54900,3.25900,2.26600,3.33700,4.31300,
3.03700,2.61200,2.79300,2.36700,2.34100,2.32600,2.56200,2.55000,3.79600,4.79800,
2.01800,2.57400,2.47200,2.51100,2.34200,2.69600,2.67700,2.29700,3.15900,4.95400,
2.38700,2.82800,2.33800,2.39900,2.74100,2.48700,2.64900,2.47300,2.97600,5.18100,
2.79100,2.64100,2.34900,2.48700,2.42800,2.76800,2.42100,2.23900,4.43600,5.35800,
2.29500,2.71800,2.85700,2.36400,3.45200,2.66300,2.32000,2.48600,4.28300,4.26100,
2.24300,2.20600,2.89500,2.44800,2.10700,2.73500,2.15400,2.24700,4.09800,5.00700,
2.54500,2.57600,2.52400,2.35000,2.73900,2.24500,3.00200,2.52500,3.07100,3.45900,
2.19700,2.67600,2.51100,2.46600,2.77300,2.56300,2.11500,2.15700,3.06400,4.23800,
2.44500,2.55900,2.16800,3.52000,2.34800,2.52300,2.52800,2.51600,3.60700,4.57200,
2.28700,19.27000,2.23200,2.34400,2.25800,2.48100,2.71600,2.78400,3.88700,4.43800,
2.12200,2.40500,2.47000,2.15000,2.53100,2.10400,2.79200,3.16400,3.68800,5.53700,
