total 40
drwxrwxr-x 5 bwb bwb 4096 10月 11 17:37 a
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Desktop
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Documents
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Downloads
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Music
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Pictures
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Public
-rw-rw-r-- 1 bwb bwb    0 10月 13 14:28 te.log
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Templates
drwxrwxr-t 2 bwb bwb 4096 9月  24 16:41 thinclient_drives
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Videos
UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 7月15 ?       00:02:51 /lib/systemd/systemd --system --deserialize 35
root           2       0  0 7月15 ?       00:00:02 [kthreadd]
root           3       2  0 7月15 ?       00:00:00 [rcu_gp]
root           4       2  0 7月15 ?       00:00:00 [rcu_par_gp]
root           6       2  0 7月15 ?       00:00:00 [kworker/0:0H-kblockd]
root           9       2  0 7月15 ?       00:00:00 [mm_percpu_wq]
root          10       2  0 7月15 ?       00:00:04 [ksoftirqd/0]
root          11       2  0 7月15 ?       04:03:41 [rcu_sched]
root          12       2  0 7月15 ?       00:00:19 [migration/0]
root          13       2  0 7月15 ?       00:00:00 [idle_inject/0]
root          14       2  0 7月15 ?       00:00:00 [cpuhp/0]
root          15       2  0 7月15 ?       00:00:00 [cpuhp/1]
root          16       2  0 7月15 ?       00:00:00 [idle_inject/1]
root          17       2  0 7月15 ?       00:00:19 [migration/1]
root          18       2  0 7月15 ?       00:00:01 [ksoftirqd/1]
root          20       2  0 7月15 ?       00:00:00 [kworker/1:0H-kblockd]
root          21       2  0 7月15 ?       00:00:00 [cpuhp/2]
root          22       2  0 7月15 ?       00:00:00 [idle_inject/2]
root          23       2  0 7月15 ?       00:00:19 [migration/2]
root          24       2  0 7月15 ?       00:00:00 [ksoftirqd/2]
